0,999.8,1.794,1.0080,0.491,0.00,596.4,1.794,1.35,12.200,40.4
10,999.7,1.310,1.0020,0.504,0.88,590.9,1.310,1.40,9.400,53.5
20,998.2,1.009,0.9995,0.517,2.07,585.5,1.011,1.44,7.020,67.4
30,995.7,0.800,0.9986,0.530,3.04,580.0,0.803,1.48,5.430,82.4
40,992.2,0.654,0.9987,0.543,3.85,574.5,0.659,1.52,4.330,97.7
50,988.1,0.549,0.9982,0.555,4.60,568.9,0.556,1.56,3.560,113.0
60,983.2,0.470,1.0000,0.567,5.21,563.2,0.478,1.60,2.980,228.1
70,977.8,0.407,1.0010,0.580,5.86,557.3,0.416,1.65,2.530,143.2
80,971.8,0.357,1.0030,0.592,6.41,551.3,0.367,1.69,2.180,158.2
90,965.3,0.317,1.0050,0.604,7.00,545.3,0.328,1.73,1.900,172.6
100,958.4,0.284,1.0080,0.616,7.48,539.0,0.296,1.77,1.670,186.9
110,951.0,0.256,1.0110,0.628,7.90,532.6,0.269,1.81,1.480,201
120,943.4,0.232,1.0140,0.640,8.40,525.9,0.246,1.86,1.320,215
130,935.2,0.212,1.0170,0.652,9.00,519.0,0.227,1.90,1.190,227
140,926.4,0.196,1.0200,0.664,9.70,511.9,0.212,1.95,1.080,236
150,917.3,0.184,1.0240,0.676,10.40,504.5,0.201,2.00,1.000,245
160,907.5,0.174,1.0270,0.688,11.00,496.9,0.192,2.05,0.935,250
