50,6.38,12.75,19.13,25.51,31.89,38.26,44.64,51.02,57.39,63.77
60,3.93,7.85,11.78,15.71,19.63,23.56,27.49,31.41,35.34,39.27
70,2.49,4.98,7.47,9.95,12.44,14.93,17.42,19.91,22.40,24.89
80,1.68,3.35,5.03,6.70,8.38,10.05,11.73,13.40,15.08,16.75
90,1.22,2.43,3.65,4.87,6.09,7.30,8.52,9.74,10.95,12.17
100,0.89,1.77,2.66,3.55,4.44,5.32,6.21,7.10,7.99,8.87
110,0.67,1.33,2.00,2.67,3.33,4.00,4.67,5.33,6.00,6.67
120,0.51,1.03,1.54,2.05,2.57,3.08,3.59,4.11,4.62,5.13
130,0.40,0.81,1.21,1.62,2.02,2.42,2.83,3.23,3.63,4.04
140,0.32,0.65,0.97,1.29,1.62,1.94,2.26,2.59,2.91,3.23
150,0.26,0.53,0.79,1.05,1.31,1.58,1.84,2.10,2.37,2.63
160,0.22,0.43,0.65,0.87,1.08,1.30,1.52,1.73,1.95,2.17
170,0.18,0.36,0.54,0.72,0.90,1.08,1.26,1.44,1.63,1.81
180,0.15,0.31,0.46,0.62,0.77,0.93,1.08,1.24,1.39,1.54
190,0.13,0.26,0.39,0.52,0.66,0.79,0.92,1.05,1.18,1.31
200,0.11,0.22,0.33,0.44,0.55,0.67,0.78,0.89,1.00,1.11
210,0.10,0.19,0.29,0.39,0.49,0.58,0.68,0.78,0.87,0.97
220,0.08,0.17,0.25,0.34,0.42,0.51,0.59,0.67,0.76,0.84
230,0.07,0.15,0.22,0.30,0.37,0.44,0.52,0.59,0.66,0.74
240,0.06,0.13,0.19,0.26,0.32,0.39,0.45,0.52,0.58,0.65
250,0.06,0.11,0.17,0.23,0.29,0.34,0.40,0.46,0.52,0.57
260,0.05,0.10,0.15,0.20,0.26,0.31,0.36,0.41,0.46,0.51
270,0.05,0.09,0.14,0.18,0.23,0.27,0.32,0.36,0.41,0.46
280,0.04,0.08,0.12,0.16,0.21,0.25,0.29,0.33,0.37,0.41
290,0.04,0.07,0.11,0.15,0.19,0.22,0.26,0.30,0.33,0.37
300,0.03,0.07,0.10,0.13,0.17,0.20,0.23,0.27,0.30,0.33
310,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.28,0.31
320,0.03,0.06,0.08,0.11,0.14,0.17,0.19,0.22,0.25,0.28
330,0.03,0.05,0.08,0.10,0.13,0.15,0.18,0.20,0.23,0.25
